organism_id,ShootArea,distFromHypocotyl,chlorophyll,Root_area,tortuosity,PR_length,LR_length,plant_id
92,0.111,0.000,2.828,0.007,1.262,0.151,1,C1_16
93,0.073,0.000,2.108,0.157,1.089,3.64,5,C1_17
94,0.015,0.000,0.346,0.018,1.073,0.913,0,C1_18
95,0.011,0.000,0.164,0.008,1.065,0.185,0,C1_19
96,0.089,0.618,1.856,0.113,1.090,3.273,5,C2_1
97,0.112,1.881,2.331,0.192,1.084,5.654,6,C2_2
98,0.109,1.973,2.402,0.144,1.057,5.167,5,C2_3
99,0.110,1.881,2.431,0.192,1.081,5.981,6,C2_4
100,0.012,0.912,0.171,0.092,1.065,0.208,3,C2_5
101,0.117,0.000,2.447,0.009,1.054,0.105,1,C2_6
102,0.011,0.912,0.138,0.092,1.116,4.429,3,C2_7
103,0.141,2.151,2.691,0.231,1.093,7.081,13,C2_8
104,0.082,0.000,1.517,0.007,1.338,0.252,0,C2_9
105,0.083,0.712,1.782,0.192,1.067,6.821,5,C2_10
106,0.152,1.384,3.149,0.165,1.091,7.095,7.5,C2_11
107,0.061,1.384,0.938,0.165,1.106,3.687,7.5,C2_12
108,0.123,1.634,2.732,0.163,1.098,7.154,5.5,C2_13
109,0.079,1.634,1.748,0.163,1.121,4.692,5.5,C2_14
110,0.023,1.634,0.365,0.163,1.092,2.516,5.5,C2_15
111,0.116,1.634,2.591,0.163,1.123,4.638,5.5,C2_16
112,0.062,0.881,1.201,0.114,1.068,3.849,5,C2_17
113,0.013,0.000,0.186,0.018,1.045,0.725,1,C2_18
114,0.057,1.125,1.108,0.155,1.099,3.384,4,C2_19
115,0.018,0.000,0.263,0.019,1.057,0.894,0,C2_20
116,0.007,0.000,0.116,0.004,1.077,0.209,0,C2_21
117,0.218,2.297,4.506,0.304,1.152,8.186,12,D1_1
118,0.275,0.780,5.361,0.274,1.117,4.757,10,D1_2
119,0.094,2.297,1.841,0.304,1.119,5.477,12,D1_3
120,0.178,2.297,3.327,0.304,1.302,8.22,12,D1_4
121,0.323,1.799,6.845,0.274,1.172,8.288,14.5,D1_5
122,0.034,1.799,0.657,0.274,1.116,5.186,14.5,D1_6
123,0.349,2.515,7.566,0.397,1.149,8.229,15,D1_7
124,0.229,2.515,5.085,0.397,1.132,10.914,15,D1_8
125,0.228,2.515,4.427,0.397,1.119,8.511,15,D1_9
126,0.101,2.515,1.948,0.397,1.110,6.996,15,D1_10
127,0.356,2.515,7.834,0.397,1.142,8.326,15,D1_11
128,0.313,2.515,7.265,0.397,1.123,10.303,15,D1_12
129,0.125,2.515,2.400,0.397,1.123,8.103,15,D1_13
130,0.269,2.515,5.251,0.397,1.223,10.854,15,D1_14
131,0.110,2.515,2.321,0.397,1.161,8.486,15,D1_15
132,0.301,2.515,6.022,0.397,1.140,8.272,15,D1_16
133,0.199,2.148,4.338,0.304,1.151,8.157,12.6,D2_1
134,0.388,2.570,7.436,0.391,1.126,9.149,15,D2_2
135,0.322,2.148,7.372,0.304,1.322,8.188,12.6,D2_3
136,0.198,2.148,3.985,0.304,1.209,5.422,12.6,D2_4
137,0.172,2.148,3.565,0.304,1.115,5.182,12.6,D2_5
138,0.275,2.148,5.836,0.304,1.158,8.219,12.6,D2_6
139,0.189,2.846,3.894,0.399,1.116,8.116,15.3,D2_7
140,0.108,2.846,2.190,0.399,1.112,8.456,15.3,D2_8
141,0.326,2.846,5.467,0.399,1.100,10.677,15.3,D2_9
142,0.172,2.846,3.667,0.399,1.145,8.365,15.3,D2_10
143,0.275,2.846,4.659,0.399,1.124,10.808,15.3,D2_11
144,0.177,2.846,3.607,0.399,1.117,10.196,15.3,D2_12
145,0.242,2.846,4.817,0.399,1.112,7.718,15.3,D2_13
146,0.255,2.846,3.919,0.399,1.268,11.599,15.3,D2_14
147,0.101,2.846,2.023,0.399,1.202,2.645,15.3,D2_15
148,0.256,2.846,5.406,0.399,1.120,8.163,15.3,D2_16
149,0.053,0.000,0.609,0.085,1.092,3.328,0,E1_1
150,0.055,0.203,0.748,0.135,1.078,4.796,4,E1_2
151,0.223,1.573,3.531,0.340,1.088,7.124,10,E1_3
152,0.080,0.000,0.859,0.042,1.061,3.486,0,E1_4
153,0.047,0.130,0.624,0.100,1.060,3.661,2,E1_5
154,0.045,0.000,0.499,0.027,1.053,2.217,1,E1_6
155,0.035,0.481,0.311,0.072,1.069,2.746,1.5,E1_7
156,0.155,0.481,2.956,0.072,1.056,3.269,1.5,E1_8
157,0.032,0.000,0.293,0.034,1.076,1.918,0,E1_9
158,0.292,0.000,4.603,0.066,1.107,4.307,1,E1_10
159,0.138,0.000,2.715,0.035,1.052,3.56,0,E1_11
160,0.021,0.000,0.153,0.025,1.059,1.375,0,E1_12
161,0.042,0.000,0.416,0.026,1.023,1.488,1,E1_13
162,0.113,0.000,2.101,0.048,1.056,4.375,1,E1_14
163,0.083,0.621,1.339,0.160,1.045,4.457,4,E1_15
164,0.040,0.000,0.432,0.024,1.044,2.049,1,E1_16
165,0.095,1.402,1.410,0.182,1.045,5.235,7,E1_17
166,0.049,0.267,0.621,0.156,1.051,4.885,4,E1_18
167,0.029,0.000,0.361,0.081,1.062,2.586,1,E1_19
168,0.029,0.000,0.332,0.074,1.063,2.626,1,E1_20
169,0.122,0.309,2.081,0.117,1.076,4.365,4,E2_1
170,0.011,0.000,0.127,0.003,1.071,0.107,0,E2_2
171,0.231,0.831,4.187,0.199,1.072,5.829,5,E2_3
172,0.098,1.331,1.484,0.108,1.071,3.467,3,E2_4
173,0.089,0.746,1.475,0.113,1.053,3.724,5,E2_5
174,0.008,0.000,0.074,0.005,1.031,0.103,0,E2_6
175,0.063,0.000,0.860,0.096,1.057,3.937,1,E2_7
176,0.037,0.000,0.433,0.020,1.060,1.551,0,E2_8
177,0.141,0.918,2.467,0.122,1.050,4.87,2,E2_9
178,0.098,1.412,1.218,0.119,1.048,4.444,2,E2_10
179,0.018,0.000,0.336,0.004,1.071,0.45,0,E2_11
180,0.080,0.000,1.359,0.062,1.068,3.908,2,E2_12
181,0.097,0.000,1.078,0.028,1.061,2.146,0,E2_13
182,0.203,1.858,3.702,0.215,1.075,5.608,8,E2_14
183,0.032,0.000,0.361,0.029,1.078,1.836,1,E2_15
184,0.066,0.564,1.057,0.137,1.109,4.416,3,E2_16
185,0.071,1.550,0.739,0.100,1.111,1.942,3,E2_17
186,0.106,1.550,1.482,0.100,1.099,5.351,3,E2_18
187,0.187,2.348,4.250,0.259,1.102,11.163,10.14,F1_1
188,0.132,1.473,3.033,0.183,1.082,7.419,5,F1_2
189,0.041,1.473,0.674,0.183,1.116,7.537,5,F1_3
190,0.171,2.348,3.394,0.259,1.087,7.38,10.14,F1_4
191,0.049,2.348,0.958,0.259,1.085,7.545,10.14,F1_5
192,0.099,2.348,2.176,0.259,1.114,10.897,10.14,F1_6
193,0.150,2.348,2.597,0.259,1.085,7.259,10.14,F1_7
194,0.017,2.348,0.211,0.259,1.092,6.605,10.14,F1_8
195,0.132,2.348,2.527,0.259,1.106,4.745,10.14,F1_9
196,0.022,2.274,0.302,0.189,1.088,6.39,7.75,F1_10
197,0.017,2.274,0.195,0.189,1.087,4.319,7.75,F1_11
198,0.184,2.274,3.235,0.189,1.204,10.711,7.75,F1_12
199,0.098,2.274,1.372,0.189,1.098,7.228,7.75,F1_13
200,0.043,0.872,0.637,0.167,1.105,4.202,4.67,F1_14
201,0.089,0.872,1.512,0.167,1.110,7.343,4.67,F1_15
202,0.044,0.872,0.600,0.167,1.109,6.559,4.67,F1_16
203,0.080,0.940,1.040,0.137,1.094,6.216,7,F1_17
204,0.107,1.496,1.652,0.186,1.128,2.454,8.67,F1_18
205,0.104,1.496,1.466,0.186,1.136,5.318,8.67,F1_19
206,0.105,1.496,1.583,0.186,1.208,4.449,8.67,F1_20
207,0.149,2.433,3.648,0.291,1.117,10.499,13.6,F2_1
208,0.045,2.433,0.945,0.291,1.115,7.023,13.6,F2_2
209,0.064,2.433,1.242,0.291,1.114,7.229,13.6,F2_3
210,0.213,2.433,4.404,0.291,1.099,10.234,13.6,F2_4
211,0.100,2.433,1.737,0.291,1.107,6.994,13.6,F2_5
212,0.195,2.807,3.866,0.348,1.098,10.27,14.67,F2_6
213,0.025,2.807,0.267,0.348,1.041,1.095,14.67,F2_7
214,0.161,2.807,3.119,0.348,1.103,10.251,14.67,F2_8
215,0.263,2.807,4.364,0.348,1.091,7.037,14.67,F2_9
216,0.214,2.807,3.332,0.348,1.105,7.154,14.67,F2_10
217,0.159,2.807,2.985,0.348,1.080,10.166,14.67,F2_11
218,0.103,2.807,1.752,0.348,1.095,10.218,14.67,F2_12
219,0.152,2.807,1.866,0.348,1.091,7.055,14.67,F2_13
220,0.112,2.807,1.786,0.348,1.059,10.033,14.67,F2_14
221,0.046,3.140,0.525,0.282,1.077,8.996,13.5,F2_15
222,0.133,3.140,1.728,0.282,1.101,7.056,13.5,F2_16
223,0.104,2.513,1.325,0.289,1.093,7.125,13,F2_17
224,0.020,0.000,0.218,0.029,1.040,0.822,2,F2_18
225,0.220,3.103,3.604,0.379,1.112,10.026,18,F2_19
226,0.189,3.103,2.869,0.379,1.094,4.657,18,F2_20
227,0.163,2.111,3.801,0.229,1.160,2.948,10.63,F3_1
228,0.054,2.111,0.814,0.229,1.169,4.498,10.63,F3_2
229,0.076,2.111,1.374,0.229,1.135,7.755,10.63,F3_3
230,0.055,2.111,1.185,0.229,1.132,5.359,10.63,F3_4
231,0.054,2.111,0.962,0.229,1.132,7.856,10.63,F3_5
232,0.074,2.111,1.109,0.229,1.121,6.277,10.63,F3_6
233,0.201,2.111,3.786,0.229,1.111,8.198,10.63,F3_7
234,0.307,2.111,6.594,0.229,1.136,7.24,10.63,F3_8
235,0.040,1.472,0.609,0.144,1.174,5.906,6,F3_9
236,0.302,2.624,5.507,0.384,1.099,7.56,10,F3_10
237,0.018,0.123,0.259,0.029,1.161,1.199,3,F3_11
238,0.101,2.607,2.036,0.296,1.235,8.564,16.8,F3_12
239,0.040,2.607,0.617,0.296,1.096,7.361,16.8,F3_13
240,0.029,2.607,0.398,0.296,1.090,2.65,16.8,F3_14
241,0.226,2.607,4.414,0.296,1.137,11.115,16.8,F3_15
242,0.060,2.607,1.144,0.296,1.184,7.528,16.8,F3_16
243,0.103,2.444,2.233,0.397,1.108,8.599,21.5,F3_17
244,0.091,2.444,1.910,0.397,1.187,8.072,21.5,F3_18
245,0.062,2.662,1.423,0.579,1.190,10.706,15.33,G1_1
246,0.096,2.662,2.322,0.579,1.133,8.094,15.33,G1_2
247,0.190,3.315,4.468,0.458,1.175,4.849,14,G1_3
248,0.224,3.315,5.302,0.458,1.081,11.187,14,G1_4
249,0.264,2.662,6.248,0.579,1.113,7.735,15.33,G1_5
250,0.239,2.662,5.045,0.579,1.192,7.245,15.33,G1_6
251,0.148,2.662,3.016,0.579,1.074,7.901,15.33,G1_7
252,0.116,3.113,2.737,0.631,1.104,11.437,17.67,G1_8
253,0.222,3.113,4.977,0.631,1.127,8.299,17.67,G1_9
254,0.051,3.113,1.147,0.631,1.130,8.814,17.67,G1_10
255,0.079,3.113,1.731,0.631,1.235,10.301,17.67,G1_11
256,0.051,3.113,1.172,0.631,1.158,8.093,17.67,G1_12
257,0.106,3.113,2.421,0.631,1.125,5.838,17.67,G1_13
258,0.291,2.662,6.530,0.579,1.096,6.834,15.33,G1_14
259,0.127,2.277,2.836,0.231,1.166,9.946,5.4,H1_1
260,0.189,0.924,4.500,0.284,1.072,6.582,6,H1_2
261,0.031,2.277,0.497,0.231,1.089,2.908,5.4,H1_3
262,0.081,2.277,1.534,0.231,1.227,5.198,5.4,H1_4
263,0.066,2.277,1.593,0.231,1.078,3.355,5.4,H1_5
264,0.219,2.277,5.280,0.231,1.136,8.067,5.4,H1_6
265,0.104,2.277,2.615,0.231,1.086,8.966,5.4,H1_7
266,0.202,2.277,4.303,0.231,1.099,5.539,5.4,H1_8
267,0.017,0.000,0.362,0.020,1.164,1.224,0,H1_9
268,0.178,2.277,3.982,0.231,1.138,7.523,5.4,H1_10
269,0.112,1.121,1.958,0.163,1.107,3.968,6,H1_11
270,0.094,0.836,2.506,0.276,1.114,3.79,9.5,H1_12
271,0.047,0.836,1.405,0.276,1.210,5.045,9.5,H1_13
272,0.023,0.000,0.344,0.028,1.104,1.063,0,H1_14
273,0.127,1.059,2.615,0.169,1.126,5.985,7,H1_15
274,0.188,1.160,3.526,0.203,1.243,5.358,7,H1_16
275,0.284,1.841,5.359,0.186,1.200,5.612,11,H1_17
276,0.041,2.277,0.701,0.231,1.093,4.772,5.4,H1_18
277,0.165,2.277,3.601,0.231,1.108,5.999,5.4,H1_19
278,0.174,2.852,4.577,0.291,1.109,7.847,11.17,H2_1
279,0.304,2.852,6.735,0.291,1.090,7.848,11.17,H2_2
280,0.254,2.852,6.204,0.291,1.092,10.909,11.17,H2_3
281,0.225,2.852,5.152,0.291,1.111,5.945,11.17,H2_4
282,0.159,2.660,3.850,0.300,1.081,9.008,9,H2_5
283,0.327,2.852,7.057,0.291,1.137,4.749,11.17,H2_6
284,0.022,2.852,0.374,0.291,1.091,1.624,11.17,H2_7
285,0.024,1.374,0.318,0.061,1.071,0.888,3,H2_8
286,0.039,1.374,0.909,0.061,1.105,4.081,3,H2_9
287,0.134,1.764,3.103,0.238,1.086,7.815,9.33,H2_10
288,0.114,1.764,2.478,0.238,1.221,8.354,9.33,H2_11
289,0.166,1.764,3.395,0.238,1.135,7.411,9.33,H2_12
290,0.158,1.764,3.008,0.238,1.060,6.218,9.33,H2_13
291,0.123,1.764,2.643,0.238,1.089,8.196,9.33,H2_14
292,0.116,1.764,2.341,0.238,1.078,5.377,9.33,H2_15
293,0.130,1.829,3.043,0.205,1.125,8.037,8.8,H2_16
294,0.047,1.829,0.933,0.205,1.071,4.015,8.8,H2_17
295,0.222,1.829,4.337,0.205,1.320,7.993,8.8,H2_18
296,0.115,1.829,2.895,0.205,1.101,9.007,8.8,H2_19
297,0.190,1.829,3.814,0.205,1.178,3.087,8.8,H2_20
298,0.173,2.445,3.104,0.266,1.174,7.677,13.2,H3_1
299,0.209,2.445,3.671,0.266,1.126,2.61,13.2,H3_2
300,0.261,2.445,4.472,0.266,1.101,9.657,13.2,H3_3
301,0.253,2.445,5.870,0.266,1.101,8.139,13.2,H3_4
302,0.128,2.445,2.498,0.266,1.067,4.624,13.2,H3_5
303,0.206,2.949,4.056,0.439,1.184,11.646,17.82,H3_6
304,0.152,2.949,3.189,0.439,1.173,9.135,17.82,H3_7
305,0.176,2.949,3.407,0.439,1.072,5.602,17.82,H3_8
306,0.207,2.949,4.361,0.439,1.072,7.029,17.82,H3_9
307,0.130,2.949,3.328,0.439,1.088,9.386,17.82,H3_10
308,0.084,2.949,1.913,0.439,1.232,8.393,17.82,H3_11
309,0.328,2.949,7.176,0.439,1.132,1.252,17.82,H3_12
310,0.362,2.949,8.167,0.439,1.080,10.496,17.82,H3_13
